,system_id,component_id,event_date,event_time,event_type,event_report,system_age,component_age,usage_since_last_event_h,FF,cost_event,cost_cumulated
0,6,6,1970-01-06,19:01:40,inspection,,139.03,139.03,139.03,,100,100
1,1,1,1970-01-07,06:32:00,inspection,,150.53,150.53,150.53,,100,100
2,2,2,1970-01-07,19:36:45,inspection,,163.61,163.61,163.61,,100,100
3,5,5,1970-01-07,22:13:48,inspection,,166.23,166.23,166.23,,100,100
4,10,10,1970-01-08,09:45:28,inspection,,177.76,177.76,177.76,,100,100
5,7,7,1970-01-08,12:29:35,inspection,,180.49,180.49,180.49,,100,100
6,3,3,1970-01-08,17:06:19,inspection,,185.11,185.11,185.11,,100,100
7,9,9,1970-01-08,19:45:35,inspection,,187.76,187.76,187.76,,100,100
8,8,8,1970-01-09,22:23:38,inspection,,214.39,214.39,214.39,,100,100
9,4,4,1970-01-10,06:28:27,inspection,,222.47,222.47,222.47,,100,100
10,9,9,1970-01-11,22:55:46,failure,,262.93,262.93,75.17,,1200,1300
11,9,9,1970-01-11,22:55:46,replacement,unused,262.93,262.93,0.0,,1100,2400
12,7,7,1970-01-12,23:45:18,inspection,,287.76,287.76,107.26,,100,200
13,2,2,1970-01-13,23:07:59,inspection,,311.13,311.13,147.52,,100,200
14,6,6,1970-01-14,03:10:46,inspection,,315.18,315.18,176.15,,100,200
15,5,5,1970-01-14,05:47:36,inspection,,317.79,317.79,151.56,,100,200
16,8,8,1970-01-15,03:00:29,inspection,,339.01,339.01,124.61,,100,200
17,9,11,1970-01-15,03:06:32,inspection,,339.11,76.18,76.18,,100,2500
18,4,4,1970-01-16,05:18:11,inspection,,365.3,365.3,142.83,,100,200
19,1,1,1970-01-16,05:54:28,inspection,,365.91,365.91,215.37,,100,200
20,10,10,1970-01-17,05:05:14,inspection,,389.09,389.09,211.33,,100,200
21,3,3,1970-01-17,08:59:43,inspection,,393.0,393.0,207.89,,100,200
22,3,3,1970-01-18,11:14:57,failure,,419.25,419.25,26.25,,1200,1400
23,3,3,1970-01-18,11:14:57,replacement,unused,419.25,419.25,0.0,,1100,2500
24,1,1,1970-01-19,02:36:59,failure,,434.62,434.62,68.71,,1200,1400
25,1,1,1970-01-19,02:36:59,replacement,unused,434.62,434.62,0.0,,1100,2500
26,5,5,1970-01-19,10:37:30,inspection,,442.63,442.63,124.83,,100,300
27,7,7,1970-01-19,17:52:52,inspection,,449.88,449.88,162.13,,100,300
28,2,2,1970-01-19,19:41:11,inspection,,451.69,451.69,140.55,,100,300
29,6,6,1970-01-20,01:49:50,inspection,,457.83,457.83,142.65,,100,300
30,4,4,1970-01-22,18:31:06,inspection,,522.52,522.52,157.22,,100,300
31,9,11,1970-01-22,18:35:30,inspection,,522.59,259.66,183.48,,100,2600
32,8,8,1970-01-23,03:30:30,inspection,,531.51,531.51,192.5,,100,300
33,1,13,1970-01-23,14:13:58,inspection,,542.23,107.62,107.62,,100,2600
34,3,12,1970-01-24,23:59:55,inspection,,576.0,156.75,156.75,,100,2600
35,7,7,1970-01-25,04:38:51,inspection,wornout,580.65,580.65,130.77,,100,400
36,10,10,1970-01-25,12:28:50,inspection,,588.48,588.48,199.39,,100,300
37,2,2,1970-01-26,05:26:24,inspection,,605.44,605.44,153.75,,100,400
38,5,5,1970-01-26,06:04:35,inspection,,606.08,606.08,163.45,,100,400
39,8,8,1970-01-26,18:18:28,failure,,618.31,618.31,86.8,,1200,1500
40,8,8,1970-01-26,18:18:28,replacement,unused,618.31,618.31,0.0,,1100,2600
41,6,6,1970-01-27,00:19:07,inspection,wornout,624.32,624.32,166.49,,100,400
42,6,6,1970-01-27,09:22:34,replacement,unused,633.38,633.38,9.06,False,1100,1500
43,2,2,1970-01-28,06:42:12,failure,,654.7,654.7,49.26,,1200,1600
44,2,2,1970-01-28,06:42:12,replacement,reused,654.7,654.7,0.0,,1000,2600
45,2,6,1970-01-29,03:44:06,failure,,675.74,654.41,21.03,,1200,3800
46,2,6,1970-01-29,03:44:06,replacement,unused,675.74,654.41,0.0,,1100,4900
47,7,7,1970-01-29,06:57:33,replacement,unused,678.96,678.96,98.31,True,1100,1500
48,9,11,1970-01-29,08:13:02,inspection,,680.22,417.29,157.63,,100,2700
49,8,14,1970-01-29,11:08:39,inspection,,683.14,64.84,64.84,,100,2700
50,4,4,1970-01-29,19:26:35,inspection,wornout,691.44,691.44,168.92,,100,400
51,4,4,1970-01-29,22:03:59,replacement,unused,694.07,694.07,2.62,True,1100,1500
52,9,11,1970-01-29,22:23:02,failure,,694.38,431.45,14.17,,1200,3900
53,9,11,1970-01-29,22:23:02,replacement,unused,694.38,431.45,0.0,,1100,5000
54,5,5,1970-01-30,07:25:17,failure,,703.42,703.42,97.35,,1200,1600
55,5,5,1970-01-30,07:25:17,replacement,unused,703.42,703.42,0.0,,1100,2700
56,10,10,1970-01-30,20:43:29,inspection,wornout,716.72,716.72,128.24,,100,400
57,10,10,1970-01-31,00:15:03,replacement,unused,720.25,720.25,3.53,True,1100,1500
58,1,13,1970-01-31,03:14:52,inspection,,723.25,288.63,181.02,,100,2700
59,6,15,1970-02-01,07:50:16,inspection,,751.84,118.46,118.46,,100,1600
60,5,20,1970-02-01,18:17:43,inspection,,762.3,58.87,58.87,,100,2800
61,3,12,1970-02-01,21:08:11,inspection,,765.14,345.89,189.14,,100,2700
62,1,13,1970-02-01,23:19:18,failure,,767.32,332.71,44.07,,1200,3900
63,1,13,1970-02-01,23:19:18,replacement,unused,767.32,332.71,0.0,,1100,5000
64,7,17,1970-02-02,07:31:18,inspection,,775.52,96.56,96.56,,100,1600
