,system_id,component_id,event_date,event_time,event_type,system_age,component_age,usage_since_last_event_h,FF,cost_event,cost_cumulated
0,6,1226,1970-01-06,06:53:25,inspection,126,126,126,,100,100
1,6,1226,1970-01-07,21:37:59,failure,165,165,38,,1200,1300
2,6,1227,1970-01-13,07:29:53,inspection,295,129,129,,100,1400
3,6,1227,1970-01-19,10:59:30,inspection,442,277,147,,100,1500
4,6,1227,1970-01-25,22:08:54,inspection,598,432,155,,100,1600
5,6,1227,1970-01-30,12:21:11,failure,708,542,110,,1200,2800
6,6,1228,1970-02-01,08:54:39,inspection,752,44,44,,100,2900
7,6,1228,1970-02-09,09:17:46,inspection,945,236,192,,100,3000
8,6,1228,1970-02-16,14:57:40,inspection,1118,410,173,,100,3100
9,6,1228,1970-02-24,06:28:07,inspection,1302,594,183,,100,3200
10,6,1228,1970-02-26,19:12:23,failure,1363,654,60,,1200,4400
11,6,1229,1970-03-03,11:56:07,inspection,1475,112,112,,100,4500
12,6,1229,1970-03-09,08:00:57,inspection,1616,252,140,,100,4600
13,6,1229,1970-03-14,05:27:32,inspection,1733,370,117,,100,4700
14,6,1229,1970-03-20,02:32:04,failure,1874,511,141,,1200,5900
15,6,1230,1970-03-21,11:51:57,inspection,1907,33,33,,100,6000
16,6,1230,1970-03-28,07:29:06,inspection,2071,196,163,,100,6100
17,6,1230,1970-04-04,00:55:29,inspection,2232,358,161,,100,6200
18,6,1230,1970-04-12,10:44:42,inspection,2434,560,201,,100,6300
19,6,1230,1970-04-13,17:19:26,failure,2465,590,30,,1200,7500
20,6,1231,1970-04-19,06:29:13,inspection,2598,133,133,,100,7600
21,6,1231,1970-04-26,15:39:43,inspection,2775,310,177,,100,7700
22,6,1231,1970-05-03,19:42:09,inspection,2947,482,172,,100,7800
23,6,1231,1970-05-09,20:31:04,replacement,3092,627,144,False,1000,8800
24,6,1232,1970-05-16,10:21:55,inspection,3250,157,157,,100,8900
25,6,1232,1970-05-24,20:12:44,inspection,3452,359,201,,100,9000
26,6,1232,1970-05-30,13:19:04,inspection,3589,496,137,,100,9100
27,6,1232,1970-06-04,07:48:23,failure,3703,611,114,,1200,10300
28,6,1233,1970-06-06,17:27:01,inspection,3761,57,57,,100,10400
29,6,1233,1970-06-15,08:53:28,inspection,3968,265,207,,100,10500
30,6,1233,1970-06-23,21:02:58,inspection,4173,469,204,,100,10600
31,6,1233,1970-06-29,13:55:04,inspection,4309,606,136,,100,10700
32,6,1233,1970-07-07,09:38:41,replacement,4497,793,187,True,1000,11700
33,6,1234,1970-07-14,11:28:29,inspection,4667,169,169,,100,11800
34,6,1234,1970-07-14,22:10:23,failure,4678,180,10,,1200,13000
35,6,1235,1970-07-21,08:33:50,inspection,4832,154,154,,100,13100
36,6,1235,1970-07-26,09:07:14,inspection,4953,274,120,,100,13200
37,6,1235,1970-08-01,16:17:58,inspection,5104,426,151,,100,13300
38,6,1235,1970-08-08,20:59:31,inspection,5276,598,172,,100,13400
39,6,1235,1970-08-11,10:24:53,failure,5338,660,61,,1200,14600
40,6,1236,1970-08-16,00:42:42,inspection,5448,110,110,,100,14700
41,6,1236,1970-08-22,19:15:26,inspection,5611,272,162,,100,14800
42,6,1236,1970-08-29,12:01:54,inspection,5772,433,160,,100,14900
43,6,1236,1970-09-07,01:41:09,inspection,5977,639,205,,100,15000
44,6,1236,1970-09-12,12:56:40,replacement,6108,770,131,True,1000,16000
45,6,1237,1970-09-18,15:30:47,inspection,6255,146,146,,100,16100
46,6,1237,1970-09-24,07:30:14,inspection,6391,282,135,,100,16200
47,6,1237,1970-09-30,21:32:07,inspection,6549,440,158,,100,16300
48,6,1237,1970-10-04,12:10:36,failure,6636,527,86,,1200,17500
49,6,1238,1970-10-07,08:08:02,inspection,6704,67,67,,100,17600
50,6,1238,1970-10-14,08:22:53,inspection,6872,236,168,,100,17700
51,6,1238,1970-10-21,11:36:27,inspection,7043,407,171,,100,17800
52,6,1238,1970-10-29,10:13:19,inspection,7234,598,190,,100,17900
53,6,1238,1970-10-30,22:27:02,failure,7270,634,36,,1200,19100
54,6,1239,1970-11-07,09:01:07,inspection,7449,178,178,,100,19200
55,6,1239,1970-11-14,01:03:56,failure,7609,338,160,,1200,20400
56,6,1240,1970-11-15,09:38:22,inspection,7641,32,32,,100,20500
57,6,1240,1970-11-23,19:53:38,inspection,7843,234,202,,100,20600
58,6,1240,1970-12-01,04:40:39,inspection,8020,411,176,,100,20700
59,6,1240,1970-12-08,02:04:15,failure,8186,577,165,,1200,21900
60,6,1241,1970-12-08,04:58:27,inspection,8188,2,2,,100,22000
61,6,1241,1970-12-15,05:34:48,inspection,8357,171,168,,100,22100
62,6,1241,1970-12-23,03:00:48,inspection,8547,360,189,,100,22200
63,6,1241,1970-12-31,03:45:28,failure,8739,553,192,,1200,23400
64,6,1242,1971-01-01,02:05:35,inspection,8762,22,22,,100,23500
65,6,1242,1971-01-08,15:39:49,inspection,8943,203,181,,100,23600
66,6,1242,1971-01-15,00:38:32,inspection,9096,356,152,,100,23700
67,6,1242,1971-01-15,03:46:36,failure,9099,360,3,,1200,24900
68,6,1243,1971-01-21,16:10:53,inspection,9256,156,156,,100,25000
69,6,1243,1971-01-28,13:40:59,inspection,9421,321,165,,100,25100
70,6,1243,1971-02-04,10:37:54,inspection,9586,486,164,,100,25200
71,6,1243,1971-02-08,00:07:01,failure,9672,572,85,,1200,26400
72,6,1244,1971-02-11,02:25:57,inspection,9746,74,74,,100,26500
73,6,1244,1971-02-18,11:13:35,inspection,9923,251,176,,100,26600
74,6,1244,1971-02-25,06:36:51,inspection,10086,414,163,,100,26700
75,6,1244,1971-03-02,17:29:54,failure,10217,545,130,,1200,27900
76,6,1245,1971-03-03,05:42:40,inspection,10229,12,12,,100,28000
77,6,1245,1971-03-09,16:40:34,inspection,10384,167,154,,100,28100
78,6,1245,1971-03-16,18:43:25,inspection,10554,337,170,,100,28200
79,6,1245,1971-03-24,05:19:12,inspection,10733,515,178,,100,28300
80,6,1245,1971-03-27,06:02:54,failure,10806,588,72,,1200,29500
81,6,1246,1971-03-31,19:27:43,inspection,10915,109,109,,100,29600
82,6,1246,1971-04-07,23:48:17,inspection,11087,281,172,,100,29700
83,6,1246,1971-04-16,03:56:35,inspection,11283,477,196,,100,29800
84,6,1246,1971-04-23,05:14:03,replacement,11453,647,169,True,1000,30800
85,6,1247,1971-04-30,17:17:57,inspection,11633,180,180,,100,30900
86,6,1247,1971-05-07,22:47:16,inspection,11806,353,173,,100,31000
87,6,1247,1971-05-15,04:32:57,inspection,11980,527,173,,100,31100
88,6,1247,1971-05-15,06:12:49,failure,11982,528,1,,1200,32300
89,6,1248,1971-05-23,04:05:26,inspection,12172,189,189,,100,32400
90,6,1248,1971-06-01,00:09:01,inspection,12384,401,212,,100,32500
91,6,1248,1971-06-07,07:29:55,inspection,12535,553,151,,100,32600
92,6,1248,1971-06-15,06:41:06,replacement,12726,744,191,True,1000,33600
93,6,1249,1971-06-20,14:55:28,inspection,12854,128,128,,100,33700
94,6,1249,1971-06-27,14:25:24,inspection,13022,295,167,,100,33800
95,6,1249,1971-07-05,16:44:09,inspection,13216,490,194,,100,33900
96,6,1249,1971-07-11,07:44:22,replacement,13351,625,135,False,1000,34900
97,6,1250,1971-07-19,06:26:51,inspection,13542,190,190,,100,35000
98,6,1250,1971-07-25,20:34:42,inspection,13700,348,158,,100,35100
99,6,1250,1971-07-30,01:11:24,failure,13801,449,100,,1200,36300
100,6,1251,1971-08-01,18:07:15,inspection,13866,64,64,,100,36400
101,6,1251,1971-08-09,09:22:10,inspection,14049,248,183,,100,36500
102,6,1251,1971-08-16,05:29:48,inspection,14213,412,164,,100,36600
103,6,1251,1971-08-23,04:28:39,inspection,14380,579,166,,100,36700
104,6,1251,1971-08-31,21:11:52,replacement,14589,788,208,True,1000,37700
105,6,1252,1971-09-09,12:40:57,inspection,14796,207,207,,100,37800
106,6,1252,1971-09-14,14:45:51,inspection,14918,329,122,,100,37900
107,6,1252,1971-09-21,16:29:13,inspection,15088,499,169,,100,38000
108,6,1252,1971-09-28,00:06:03,replacement,15240,650,151,True,1000,39000
109,6,1253,1971-10-03,18:34:44,inspection,15378,138,138,,100,39100
110,6,1253,1971-10-11,18:27:47,inspection,15570,330,191,,100,39200
111,6,1253,1971-10-18,16:19:25,inspection,15736,496,165,,100,39300
112,6,1253,1971-10-25,23:52:40,replacement,15911,671,175,True,1000,40300
113,6,1254,1971-11-01,20:10:44,inspection,16076,164,164,,100,40400
114,6,1254,1971-11-08,07:40:33,failure,16231,319,155,,1200,41600
115,6,1255,1971-11-09,03:01:07,inspection,16251,19,19,,100,41700
116,6,1255,1971-11-17,00:35:01,inspection,16440,208,189,,100,41800
117,6,1255,1971-11-24,04:19:10,inspection,16612,380,171,,100,41900
118,6,1255,1971-12-03,14:19:10,failure,16838,606,225,,1200,43100
119,6,1256,1971-12-03,14:35:44,inspection,16838,0,0,,100,43200
120,6,1256,1971-12-11,07:38:07,inspection,17023,185,185,,100,43300
121,6,1256,1971-12-19,00:10:48,inspection,17208,369,184,,100,43400
122,6,1256,1971-12-25,10:51:50,failure,17362,524,154,,1200,44600
123,6,1257,1971-12-27,02:26:53,inspection,17402,39,39,,100,44700
124,6,1257,1972-01-02,20:45:04,inspection,17564,201,162,,100,44800
