,system_id,component_id,event_date,event_time,event_type,system_age,component_age,usage_since_last_event_h,FF,cost_event,cost_cumulated
0,4,736,1970-01-05,11:08:42,inspection,107,107,107,,100,100
1,4,736,1970-01-11,06:02:11,inspection,246,246,138,,100,200
2,4,736,1970-01-17,20:25:15,inspection,404,404,158,,100,300
3,4,736,1970-01-25,10:04:24,inspection,586,586,181,,100,400
4,4,736,1970-01-29,20:54:07,failure,692,692,106,,1200,1600
5,4,737,1970-01-31,22:10:26,inspection,742,49,49,,100,1700
6,4,737,1970-02-06,10:21:30,inspection,874,181,132,,100,1800
7,4,737,1970-02-13,01:34:14,inspection,1033,340,159,,100,1900
8,4,737,1970-02-18,23:44:00,inspection,1175,482,142,,100,2000
9,4,737,1970-02-27,03:58:29,inspection,1371,679,196,,100,2100
10,4,737,1970-03-07,14:10:00,replacement,1574,881,202,True,1000,3100
11,4,738,1970-03-13,21:42:21,inspection,1725,151,151,,100,3200
12,4,738,1970-03-21,21:09:47,inspection,1917,342,191,,100,3300
13,4,738,1970-03-30,13:48:43,inspection,2125,551,208,,100,3400
14,4,738,1970-04-03,18:13:42,failure,2226,652,100,,1200,4600
15,4,739,1970-04-05,03:36:30,inspection,2259,33,33,,100,4700
16,4,739,1970-04-12,05:48:04,inspection,2429,203,170,,100,4800
17,4,739,1970-04-18,13:41:52,inspection,2581,355,151,,100,4900
18,4,739,1970-04-24,19:58:09,inspection,2731,505,150,,100,5000
19,4,739,1970-04-25,22:49:32,failure,2758,532,26,,1200,6200
20,4,740,1970-05-03,07:24:51,inspection,2935,176,176,,100,6300
21,4,740,1970-05-11,04:28:40,inspection,3124,365,189,,100,6400
22,4,740,1970-05-13,21:19:03,failure,3189,430,64,,1200,7600
23,4,741,1970-05-17,07:41:18,inspection,3271,82,82,,100,7700
24,4,741,1970-05-24,00:36:17,inspection,3432,243,160,,100,7800
25,4,741,1970-05-30,06:21:09,inspection,3582,393,149,,100,7900
26,4,741,1970-06-01,12:34:26,failure,3636,447,54,,1200,9100
27,4,742,1970-06-06,06:20:52,inspection,3750,113,113,,100,9200
28,4,742,1970-06-12,07:36:34,inspection,3895,259,145,,100,9300
29,4,742,1970-06-20,03:01:41,inspection,4083,446,187,,100,9400
30,4,742,1970-06-27,17:37:28,replacement,4265,629,182,False,1000,10400
31,4,743,1970-07-04,02:24:19,inspection,4418,152,152,,100,10500
32,4,743,1970-07-11,13:10:22,inspection,4597,331,178,,100,10600
33,4,743,1970-07-17,10:19:48,inspection,4738,472,141,,100,10700
34,4,743,1970-07-22,07:15:33,failure,4855,589,116,,1200,11900
35,4,744,1970-07-25,19:40:01,inspection,4939,84,84,,100,12000
36,4,744,1970-07-31,22:00:16,inspection,5086,230,146,,100,12100
37,4,744,1970-08-07,22:25:52,inspection,5254,399,168,,100,12200
38,4,744,1970-08-14,18:04:30,inspection,5418,562,163,,100,12300
39,4,744,1970-08-15,03:29:50,failure,5427,572,9,,1200,13500
